shell,triangles,cx,cy,cz,dx,dy,dz,xmin,ymin,zmin,xmax,ymax,zmax
0,28196,0.0,-0.5,213.00009536743164,106.0,105.0,217.96788787841797,-53.0,-53.0,104.01615142822266,53.0,52.0,321.9840393066406
1,23840,0.0,17.5,129.0,84.99993896484375,34.0,84.99993896484375,-42.499969482421875,0.5,86.50003051757812,42.499969482421875,34.5,171.49996948242188
2,23840,0.0,17.5,385.0,84.99993896484375,34.0,84.99993896484375,-42.499969482421875,0.5,342.5000305175781,42.499969482421875,34.5,427.4999694824219
3,23840,-108.0,0.0,367.5,84.99993896484375,84.99993896484375,34.0,-150.49996948242188,-42.499969482421875,350.5,-65.50003051757812,42.499969482421875,384.5
4,23840,0.0,0.0,9.0,84.99803924560547,84.99803924560547,34.0,-42.499019622802734,-42.499019622802734,-8.0,42.499019622802734,42.499019622802734,26.0
5,23840,0.0,17.5,277.0,84.99993896484375,34.0,84.99993896484375,-42.499969482421875,0.5,234.50003051757812,42.499969482421875,34.5,319.4999694824219
6,18700,-64.00010299682617,-0.5,385.0,177.96790313720703,105.0,90.0,-152.9840545654297,-53.0,340.0,24.983848571777344,52.0,430.0
7,18700,0.0,-0.5,341.0000991821289,90.0,105.0,177.96788024902344,-45.0,-53.0,252.0161590576172,45.0,52.0,429.9840393066406
8,17022,0.0,0.0,102.99202728271484,90.0,90.0,141.9840545654297,-45.0,-45.0,32.0,45.0,45.0,173.9840545654297
9,16574,0.0,0.0,28.999999523162842,300.0,268.8314208984375,74.00000095367432,-150.0,-134.41571044921875,-8.000000953674316,150.0,134.41571044921875,66.0
10,13340,-132.50807571411133,0.0,388.5,98.98384857177734,150.0,111.0,-182.0,-75.0,333.0,-83.01615142822266,75.0,444.0
11,7106,0.0,35.79999923706055,385.0,54.99665451049805,6.0,54.99664306640625,-27.498327255249023,32.79999923706055,357.5016784667969,27.498327255249023,38.79999923706055,412.4983215332031
12,7106,0.0,35.79999923706055,128.99999618530273,54.99665451049805,6.0,54.99665069580078,-27.498327255249023,32.79999923706055,101.50167083740234,27.498327255249023,38.79999923706055,156.49832153320312
13,7106,-107.99999618530273,0.0,349.20001220703125,54.99665069580078,54.99665451049805,6.0,-135.49832153320312,-27.498327255249023,346.20001220703125,-80.50167083740234,27.498327255249023,352.20001220703125
14,7106,0.0,0.0,27.299999237060547,54.996212005615234,54.996212005615234,6.0,-27.498106002807617,-27.498106002807617,24.299999237060547,27.498106002807617,27.498106002807617,30.299999237060547
15,7106,0.0,35.79999923706055,277.0,54.99665451049805,6.0,54.99664306640625,-27.498327255249023,32.79999923706055,249.50167846679688,27.498327255249023,38.79999923706055,304.4983215332031
16,6344,-0.005110740661621094,-16.5,129.0,46.98977851867676,7.0,46.991973876953125,-23.5,-20.0,105.50401306152344,23.489778518676758,-13.0,152.49598693847656
17,4654,0.0011243820190429688,33.44999980926514,276.9931640625,46.59188270568848,14.100000381469727,46.586181640625,-23.294816970825195,26.399999618530273,253.7000732421875,23.29706573486328,40.5,300.2862548828125
18,4654,0.0011243820190429688,33.44999980926514,384.9931640625,46.59188270568848,14.100000381469727,46.586181640625,-23.294816970825195,26.399999618530273,361.7000732421875,23.29706573486328,40.5,408.2862548828125
19,4654,0.0011243820190429688,33.44999980926514,128.99316787719727,46.59188270568848,14.100000381469727,46.58617401123047,-23.294816970825195,26.399999618530273,105.70008087158203,23.29706573486328,40.5,152.2862548828125
20,4654,0.006427764892578125,0.0015277862548828125,24.949999809265137,46.586849212646484,46.59175109863281,14.100000381469727,-23.286996841430664,-23.294347763061523,17.899999618530273,23.29985237121582,23.29740333557129,32.0
21,4654,-107.99316787719727,0.0011243820190429688,351.5500030517578,46.58617401123047,46.59188270568848,14.100006103515625,-131.2862548828125,-23.294816970825195,344.5,-84.70008087158203,23.29706573486328,358.6000061035156
22,3430,7.4281065464019775,-27.501290321350098,-3.9149999618530273,8.528510570526123,4.487016677856445,3.5900001525878906,3.163851261138916,-29.74479866027832,-5.710000038146973,11.692361831665039,-25.257781982421875,-2.119999885559082
23,3430,-115.42810440063477,27.501290321350098,380.4149932861328,8.528511047363281,4.487016677856445,3.589996337890625,-119.6923599243164,25.257781982421875,378.6199951171875,-111.16384887695312,29.74479866027832,382.2099914550781
24,3430,27.501290321350098,4.585000038146973,136.42810821533203,4.487016677856445,3.5900001525878906,8.528518676757812,25.257781982421875,2.7899999618530273,132.16384887695312,29.74479866027832,6.380000114440918,140.69236755371094
25,3430,27.501290321350098,4.585000038146973,284.4281005859375,4.487016677856445,3.5900001525878906,8.52850341796875,25.257781982421875,2.7899999618530273,280.1638488769531,29.74479866027832,6.380000114440918,288.6923522949219
26,3430,27.501290321350098,4.585000038146973,392.4281005859375,4.487016677856445,3.5900001525878906,8.52850341796875,25.257781982421875,2.7899999618530273,388.1638488769531,29.74479866027832,6.380000114440918,396.6923522949219
27,2992,0.0,-16.5,129.0,38.0,7.0,38.0,-19.0,-20.0,110.0,19.0,-13.0,148.0
28,2516,0.0,36.39999961853027,129.0,65.96869659423828,7.200000762939453,66.0,-32.98434829711914,32.79999923706055,96.0,32.98434829711914,40.0,162.0
29,2516,0.0,36.39999961853027,385.0,65.96869659423828,7.200000762939453,66.0,-32.98434829711914,32.79999923706055,352.0,32.98434829711914,40.0,418.0
30,2516,0.0,36.39999961853027,277.0,65.96869659423828,7.200000762939453,66.0,-32.98434829711914,32.79999923706055,244.0,32.98434829711914,40.0,310.0
31,2516,-108.0,0.0,348.6000061035156,66.0,65.96869659423828,7.20001220703125,-141.0,-32.98434829711914,345.0,-75.0,32.98434829711914,352.20001220703125
32,2516,0.0,0.0,27.899999618530273,65.96869659423828,66.0,7.200000762939453,-32.98434829711914,-33.0,24.299999237060547,32.98434829711914,33.0,31.5
33,1516,0.0,6.5,385.0,69.98794555664062,1.6000003814697266,69.984619140625,-34.99397277832031,5.699999809265137,350.0076904296875,34.99397277832031,7.300000190734863,419.9923095703125
34,1516,0.0,0.0,-2.0,70.0,68.0,1.5999999046325684,-35.0,-34.0,-2.799999952316284,35.0,34.0,-1.2000000476837158
35,1516,0.0,6.5,128.99999618530273,69.98794555664062,1.6000003814697266,69.9845962524414,-34.99397277832031,5.699999809265137,94.00769805908203,34.99397277832031,7.300000190734863,163.99229431152344
36,1516,0.0,6.5,277.00000762939453,69.98794555664062,1.6000003814697266,69.98460388183594,-34.99397277832031,5.699999809265137,242.00770568847656,34.99397277832031,7.300000190734863,311.9923095703125
37,1516,-107.99999618530273,0.0,378.5,69.9845962524414,69.98794555664062,1.5999755859375,-142.99229431152344,-34.99397277832031,377.70001220703125,-73.00769805908203,34.99397277832031,379.29998779296875
38,1204,-116.11397933959961,30.281774520874023,380.4100036621094,10.524757385253906,9.365100860595703,4.20001220703125,-121.37635803222656,25.599224090576172,378.30999755859375,-110.85160064697266,34.964324951171875,382.510009765625
39,1204,30.281774520874023,4.590000033378601,393.1139678955078,9.365100860595703,4.200000047683716,10.524749755859375,25.599224090576172,2.490000009536743,387.8515930175781,34.964324951171875,6.690000057220459,398.3763427734375
40,1204,30.281774520874023,4.590000033378601,285.1139678955078,9.365100860595703,4.200000047683716,10.524749755859375,25.599224090576172,2.490000009536743,279.8515930175781,34.964324951171875,6.690000057220459,290.3763427734375
